tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:15875)
comics,global,1.5000000000000004e-05,33.2862,-,-,-,10680,-,-,1.50029e-05,-,-,-
comics,local,1.5000000000000004e-05,119.226,-,-,-,15866,-,-,1.56272e-05,-,-,-
fark,y form,1.6000000000000003e-05,1.7218022346496582,3.3612077879952267,False,-,15863,-,-,2.5586418975394426e-05,1.6000000000000003e-05,1,-
fark,z form,1.6000000000000003e-05,1.706669807434082,3.959645576076582,False,-,15872,-,-,1.8215588104061185e-05,1.6000000000000003e-05,1,-
fark,y form,1.6000000000000003e-05,5.117164850234985,14.0678778400179,False,-,9210,-,-,1.601124484486036e-05,1.6000000000000003e-05,2,-
fark,z form,1.6000000000000003e-05,4.6614110469818115,12.234567611012608,False,-,13922,-,-,1.600629571374045e-05,1.6000000000000003e-05,2,-
fark,y form,1.6000000000000003e-05,7.452033996582031,20.520050292019732,False,-,9210,-,-,1.601124484486036e-05,1.6000000000000003e-05,3,-
fark,z form,1.6000000000000003e-05,7.8509345054626465,21.531292289029807,False,-,13922,-,-,1.600629571374045e-05,1.6000000000000003e-05,3,-
fark,y form,1.6000000000000003e-05,9.092761993408203,24.25922129198443,False,-,9210,-,-,1.601124484486036e-05,1.6000000000000003e-05,4,-
fark,z form,1.6000000000000003e-05,9.642464399337769,25.18849971902091,False,-,13922,-,-,1.600629571374045e-05,1.6000000000000003e-05,4,-
fark,y form,1.6000000000000003e-05,13.426587581634521,38.53994139295537,False,-,9210,-,-,1.601124484486036e-05,1.6000000000000003e-05,5,-
fark,z form,1.6000000000000003e-05,12.57569694519043,33.34809779596981,False,-,13922,-,-,1.600629571374045e-05,1.6000000000000003e-05,5,-
fark,y exact,1.6000000000000003e-05,1803.0195112228394,7183.835477472981,True,-,9210,6303.0,-,1.601124484486036e-05,1.6000000000000003e-05,-,-
fark,z exact,1.6000000000000003e-05,1820.9226751327515,7252.7009363879915,True,-,9215,2546.0,-,1.61650783729726e-05,1.6000000000000003e-05,-,-
comics,global,1.6000000000000003e-05,36.2716,-,-,-,11200,-,-,1.60052e-05,-,-,-
comics,local,1.6000000000000003e-05,119.526,-,-,-,15868,-,-,1.75222e-05,-,-,-
fark,y form,1.7000000000000003e-05,1.7360889911651611,3.422434887033887,False,-,15863,-,-,2.5586418975394426e-05,1.7000000000000003e-05,1,-
fark,z form,1.7000000000000003e-05,1.6774113178253174,3.7990984841017053,False,-,15872,-,-,1.8215588104061185e-05,1.7000000000000003e-05,1,-
fark,y form,1.7000000000000003e-05,5.313374280929565,14.792470679967664,False,-,9879,-,-,1.7001495668660995e-05,1.7000000000000003e-05,2,-
fark,z form,1.7000000000000003e-05,4.520529747009277,11.638735804939643,False,-,14832,-,-,1.700181442802058e-05,1.7000000000000003e-05,2,-
fark,y form,1.7000000000000003e-05,7.305665016174316,19.914494978031144,False,-,9879,-,-,1.7001495668660995e-05,1.7000000000000003e-05,3,-
fark,z form,1.7000000000000003e-05,7.852987289428711,21.52275053190533,False,-,14832,-,-,1.700181442802058e-05,1.7000000000000003e-05,3,-
fark,y form,1.7000000000000003e-05,9.652809381484985,26.49048263800796,False,-,9879,-,-,1.7001495668660995e-05,1.7000000000000003e-05,4,-
fark,z form,1.7000000000000003e-05,10.923381328582764,30.225884175975807,False,-,14832,-,-,1.700181442802058e-05,1.7000000000000003e-05,4,-
